Empresa;Ação;P/L;P/VP;DY;ROE;Valor;Valor Alvo;Volume
AFLT3;AFLUENTE ;15.36;2.22;2,75%;14,46%;9,55;0,00
EUCA4;EUCATEX ;4.19;0.5;-;11,94%;11,27;0,00
IFCM3;Infracommerce ;-2.1;0.44;-;-20,86%;1,64;7.86
TEND3;CONSTRUTORA TENDA ;-1.41;1.37;-;-97,54%;8,87;8.60
ELET5;ELETROBRAS ;114.91;1.47;2,91%;1,28%;70,51;0,00
BRIT3;Brisanet ;-;-;1,22%;5,45%;2,65;5.53
TIET4;AES TIETE ;-;-;-;-;;0,00
GFSA3;GAFISA ;-2.16;0.14;-;-6,58%;6,69;27.00
YDUQ3;YDUQS ;356.53;1.67;-;0,47%;16,78;15.15
BIDI11;Banco Inter ;871.14;1.09;-;0,13%;10,55;0,00
ALPA4;ALPARGATAS ;-67.99;1.37;-;-2,01%;11,05;12.67
SBFG3;CENTAURO ;16.85;1.34;1,04%;7,97%;13,09;17.14
CRPG6;TRONOX PIGMENTOS DO BRASIL ;11.88;1.4;12,97%;11,82%;40,51;0,00
BPAC3;BANCO BTG PACTUAL ;21.09;3.83;1,49%;18,17%;14,72;0,00
PRNR3;PRINER ;15.8;1.58;2,88%;9,99%;8,98;0,00
OFSA3;OURO FINO SAÚDE ANIMAL ;11.99;1.82;2,57%;15,15%;24,72;26.50
RNEW4;RENOVA ;0.21;0.18;-;88,97%;1,51;0,00
BRSR5;BANCO BANRISUL ;8.93;0.86;4,63%;9,58%;19,98;12.29
VIVR3;VIVER INCORPORADORA E CONSTRUTORA ;-1.85;1.73;-;-93,32%;0,35;0,00
LUPA3;LUPATECH ;3.37;0.58;-;17,11%;3,32;0,00
EKTR4;ELEKTRO ;7.51;2.27;10,24%;30,29%;37,00;0,00
WHRL3;WHIRLPOOL ;19.35;3.06;4,01%;15,83%;4,67;0,00
JSLG3;JSL ;13.72;1.8;-;13,08%;9,00;11.00
GUAR3;GUARARAPES CONFECÇÕES ;-68.44;0.59;1,36%;-0,86%;5,97;6.15
ENMT4;ENERGISA MATO GROSSO ;14.39;5.23;6,11%;36,34%;70,49;0,00
SEQL3;SEQUOIA ;-1.39;0.56;-;-40,02%;1,63;10.59
ZAMP3;ZAMP S.A ;-15.92;0.89;-;-5,57%;4,60;9.63
MEAL3;INTERNATIONAL MEAL COMPANY ;11.73;0.62;-;5,29%;2,30;0,00
HBSA3;HIDROVIAS DO BRASIL ;-123.35;1.93;-;-1,56%;3,46;3.60
HVAN3;HAVAN ;;;-;-;;0,00
IGTA3;IGUATEMI ;211.35;1.27;-;0,60%;29,49;0,00
MEGA3;OMEGA GERAÇÃO ;7151.45;1.24;-;0,02%;10,06;13.47
LJQQ3;LOJAS QUEROQUERO S/A ;-34.72;2.07;-;-5,96%;5,71;7.40
WLMM3;WLM INDÚSTRIA E COMÉRCIO ;5.94;1.13;3,72%;18,99%;20,00;0,00
UCAS3;UNICASA ;7.01;0.96;6,63%;13,70%;2,79;0,00
TKNO4;TEKNO ;4.78;0.62;2,01%;13,06%;56,90;0,00
BPAR3;BANCO BANPARA ;5.42;0.76;4,53%;14,01%;135,39;0,00
SEER3;SER EDUCACIONAL ;-2.54;0.49;-;-19,20%;4,59;5.14
ANIM3;ANIMA ;-28.49;0.48;-;-1,70%;3,77;5.57
LCAM3;LOCAMERICA ;35.58;1.98;4,14%;5,58%;24,15;0,00
GNDI3;Notre Dame Intermédica ;-375.27;0.61;-;-0,16%;;0,00
LOGN3;LOGIN LOGÍSTICA INTERMODAL ;13.71;5.76;-;41,99%;49,54;39.20
BOAS3;BOA VISTA ;13.65;1.85;3,27%;13,52%;7,76;8.00
ENJU3;ENJOEI ;-6.09;0.72;-;-11,82%;1,35;1.47
CAMB3;CAMBUCI ;5.11;1.9;2,64%;37,25%;8,39;0,00
LAME3;LOJAS AMERICANAS ;48.39;1.77;-;3,66%;15,08;0,00
CBEE3;AMPLA ENERGIA ;-28.29;0.75;-;-2,64%;16,22;0,00
TIET3;AES TIETE ;-;-;-;-;;0,00
BALM4;BAUMER ;7.37;0.69;2,20%;9,32%;9,80;0,00
ODER3;CONSERVAS ODERICH ;0.35;0.08;-;22,75%;3,30;0,00
GEPA4;RIO PARANAPANEMA ;7.92;1.14;5,58%;14,42%;24,00;0,00
